"","fsl","wash","capacity_gaps","protection","shelter","health","impact","education","calculated_msni"
"200",4,2,1,4,1,1,1,1,4
"201",1,3,1,4,1,1,1,1,4
"202",2,3,1,4,1,1,1,1,4
"203",3,3,1,4,1,1,1,1,4
"204",4,3,1,4,1,1,1,1,4
"205",1,4,1,4,1,1,1,1,4
"206",2,4,1,4,1,1,1,1,4
"207",3,4,1,4,1,1,1,1,4
"208",4,4,1,4,1,1,1,1,4
"209",1,1,2,4,1,1,1,1,4
"210",2,1,2,4,1,1,1,1,4
"211",3,1,2,4,1,1,1,1,4
"212",4,1,2,4,1,1,1,1,4
"213",1,2,2,4,1,1,1,1,4
"214",2,2,2,4,1,1,1,1,4
"215",3,2,2,4,1,1,1,1,4
"216",4,2,2,4,1,1,1,1,4
"217",1,3,2,4,1,1,1,1,4
"218",2,3,2,4,1,1,1,1,4
"219",3,3,2,4,1,1,1,1,4
"220",4,3,2,4,1,1,1,1,4
"221",1,4,2,4,1,1,1,1,4
"222",2,4,2,4,1,1,1,1,4
"223",3,4,2,4,1,1,1,1,4
"224",4,4,2,4,1,1,1,1,4
"225",1,1,3,4,1,1,1,1,4
"226",2,1,3,4,1,1,1,1,4
"227",3,1,3,4,1,1,1,1,4
"228",4,1,3,4,1,1,1,1,4
"229",1,2,3,4,1,1,1,1,4
"230",2,2,3,4,1,1,1,1,4
"231",3,2,3,4,1,1,1,1,4
"232",4,2,3,4,1,1,1,1,4
"233",1,3,3,4,1,1,1,1,4
"234",2,3,3,4,1,1,1,1,4
"235",3,3,3,4,1,1,1,1,4
"236",4,3,3,4,1,1,1,1,4
"237",1,4,3,4,1,1,1,1,4
"238",2,4,3,4,1,1,1,1,4
"239",3,4,3,4,1,1,1,1,4
"240",4,4,3,4,1,1,1,1,4
"241",1,1,4,4,1,1,1,1,4
"242",2,1,4,4,1,1,1,1,4
"243",3,1,4,4,1,1,1,1,4
"244",4,1,4,4,1,1,1,1,4
"245",1,2,4,4,1,1,1,1,4
"246",2,2,4,4,1,1,1,1,4
"247",3,2,4,4,1,1,1,1,4
"248",4,2,4,4,1,1,1,1,4
"249",1,3,4,4,1,1,1,1,4
"250",2,3,4,4,1,1,1,1,4
"251",3,3,4,4,1,1,1,1,4
"252",4,3,4,4,1,1,1,1,4
"253",1,4,4,4,1,1,1,1,4
"254",2,4,4,4,1,1,1,1,4
"255",3,4,4,4,1,1,1,1,4
"256",4,4,4,4,1,1,1,1,4
"257",1,1,1,1,2,1,1,1,1
"258",2,1,1,1,2,1,1,1,2
"259",3,1,1,1,2,1,1,1,3
